run,relative_s,error_m
max/run01,40.0837011814116,1.2850756909845007
max/run01,40.1837011814116,1.280281341488384
max/run01,40.2837011814116,1.2930895274154481
max/run01,40.383701181411595,1.285648281059373
max/run01,40.4837011814116,1.3140691323814249
max/run01,40.5837011814116,1.3006072510181341
max/run01,40.68370118141159,1.3207918689619342
max/run01,40.783701181411594,1.3026712145404715
max/run01,40.883701181411595,1.2643960387507547
max/run01,40.9837011814116,1.2891863998305126
max/run01,41.0837011814116,1.2806006323920982
max/run01,41.18370118141159,1.26243554308747
max/run01,41.283701181411594,1.2372048260498665
max/run01,41.383701181411595,1.2090854352188087
max/run01,41.68370118141159,1.1988565893616572
max/run01,41.783701181411594,1.2228245728670253
max/run01,41.883701181411595,1.2400215287316332
max/run01,41.98370118141159,1.2342902709850267
max/run01,42.08370118141159,1.173655208691713
max/run01,42.18370118141159,1.1354077814693708
max/run01,42.28370118141159,1.1171117796618595
max/run01,42.38370118141159,1.0963816231673524
max/run01,42.48370118141159,1.094842123860861
max/run01,42.58370118141159,1.0903869681984746
max/run01,42.88370118141159,1.0812711033704077
max/run01,42.98370118141159,1.0886725712430603
max/run01,43.28370118141159,1.089607227259109
max/run01,43.38370118141159,1.1091189599645477
max/run01,43.48370118141159,1.1047049166716119
max/run01,43.583701181411584,1.1302858338044528
max/run01,43.683701181411585,1.1101925372807904
max/run01,43.78370118141159,1.0823937413890283
max/run01,43.88370118141158,1.1048501464747822
max/run01,43.98370118141158,1.0886746940413143
max/run01,44.28370118141159,1.06804113621645
max/run01,44.38370118141158,1.0882901426877085
max/run01,44.48370118141158,1.084810180696094
max/run01,44.583701181411584,1.0855710521180302
max/run01,44.68370118141158,1.090077000534033
max/run01,44.78370118141158,1.0540723869455122
max/run01,44.88370118141158,1.045907151415787
max/run01,44.98370118141158,1.060990658469415
max/run01,45.083701181411584,1.0672621655381667
max/run01,45.18370118141158,1.0724700429878395
max/run01,45.28370118141158,1.0549789356850343
max/run01,45.38370118141158,1.059646576942407
max/run01,45.483701181411575,1.0480170890035427
max/run01,45.58370118141158,1.0368422747353485
max/run01,45.68370118141158,1.040063573021659
max/run01,45.78370118141158,1.0327146276787722
max/run01,45.88370118141158,1.0139474360596936
max/run01,45.983701181411575,1.0213045937365397
max/run01,46.08370118141158,1.0042434154963389
max/run01,46.18370118141158,1.019258057351798
max/run01,46.28370118141157,1.0074117029596914
max/run01,46.383701181411574,0.9991306211834001
max/run01,46.483701181411575,1.0088212527538487
max/run01,46.58370118141158,1.0016576580083318
max/run01,46.68370118141158,1.0037775063646945
max/run01,46.78370118141157,1.0164672071030636
max/run01,47.08370118141157,1.0132479208175735
max/run01,47.18370118141157,1.0089183957044014
max/run01,47.28370118141157,1.0086245117220818
max/run01,47.383701181411574,0.9961769677908774
max/run01,47.483701181411575,0.9632321914286675
max/run01,47.58370118141157,0.9789214225326456
max/run01,47.68370118141157,0.9597074462750432
max/run01,47.78370118141157,0.9411534237937331
max/run01,48.08370118141157,0.976597840925269
max/run01,48.18370118141157,0.9549792056068074
max/run01,48.28370118141157,0.9397827686721608
max/run01,48.38370118141157,0.9592447444250153
max/run01,48.48370118141157,0.9337002352323208
max/run01,48.58370118141157,0.9256381667266673
max/run01,48.683701181411564,0.9252149229951327
max/run01,48.783701181411566,0.9065304623105124
max/run01,48.88370118141157,0.9159351259610412
max/run01,48.98370118141157,0.8938409951491978
max/run01,49.08370118141157,0.8789638682373201
max/run01,49.183701181411564,0.893937221681414
max/run01,49.283701181411566,0.8759686297810517
max/run01,49.38370118141157,0.8739367736031327
max/run01,49.48370118141156,0.8670199703746116
max/run01,49.58370118141156,0.8531990776070062
max/run01,49.683701181411564,0.8543302450888944
max/run01,49.783701181411566,0.8463044514990398
max/run01,49.88370118141157,0.8419617929754463
max/run01,49.98370118141156,0.8366244676486144
max/run01,50.08370118141156,0.8286675725850868
max/run01,50.183701181411564,0.831210011189186
max/run01,50.28370118141156,0.8227916794943967
max/run01,50.38370118141156,0.8111076201880473
